Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
MEN1,O00255,NP_001357188,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CIC,Q96RK0,NP_001291744,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CIITA,P33076,NP_000237,0,"Lorenzo Favaro (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NHP2,Q9NX24,NP_060308,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
INTS15,Q96N11,NP_076972,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CAMK1G,Q96NX5,NP_065172,2,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/camk1g/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TET2,Q6N021,NP_001120680,0,"Laura Bauer (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
OGG1,O15527,NP_002533,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAP2K2,P36507,NP_109587,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MET,P08581,NP_000236,0,"Burcu Aykac-Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
STK32A,Q8WU08,NP_001106195,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CABLES1,Q8TDN4,NP_001094089,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP2K4,P45985,NP_003001,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ETV6,P41212,NP_001978,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IDH1,O75874,NP_001269315,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WNK3,Q9BYP7,WNK3_HUMAN,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ABCB11,O95342,NP_003733,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
POLD1,P28340,NP_002682,3,"Ludovica Beltrame (DTU, Denmark), Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pold1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,Zn2+
NUPR1,O60356,NP_036517,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SMAD2,Q15796,NP_005892,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNF257,Q9Y2Q1,NP_258429,0,"Martina Bellini (DCI, Denmark, DTU, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
CAMKV,Q8NCB2,NP_076951,2,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/camkv,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CHEK1,O14757,NP_001107594,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ELF3,P78545,NP_001107781,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IKZF1,Q13422,NP_006051,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
SBK3,P0C264,NP_001186753,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KCNJ5,P48544,NP_000881,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CREB3L2,Q70SY1,NP_919047,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NTRK2,Q16620,NP_001018074,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MYH4,Q9Y623,NP_060003,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SETD2,Q9BYW2,NP_054878,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AIP,O00170,NP_003968,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
LEPROTL1,O95214,NP_056159,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
IKZF3,Q9UKT9,NP_036613,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MEF2B,Q02080,NP_001139257,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
JAK2,O60674,NP_004963,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BAP1,Q92560,NP_004647,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
POU4F2,Q12837,NP_004566,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FGF19,O95750,NP_005108,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FGFBP2,Q9BYJ0,NP_114156,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PARP1,P09874,NP_001609,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
APOBEC3H,Q6NTF7,NP_001159475,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LRRC56,Q8IYG6,NP_932341,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RFPL4A,A6NLU0,NP_001138486,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
APOC1,P02654,NP_001307994,2,"Kristine Degn (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/apoc1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PDCD1LG2,Q9BQ51,NP_079515,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BAX,Q07812,NP_620116,2,"Terezia Dorcakova (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bax/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ITGAE,P38570,NP_002199,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SERPINA5,P05154,NP_000615,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,True,,
DDX6,P26196,NP_004388,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATP2B3,Q16720,NP_001001344,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PAX3,P23760,NP_852122,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NEK10,Q6ZWH5,NP_689747,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TPSAB1,Q15661,NP_003285,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TCL1B,O95988,NP_004909,2,"Edene Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/tcl1b/,,,AFDB,AlphaFold database,False,,
KDM3B,Q7LBC6,NP_057688,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SCYL3,Q8IZE3,NP_851607,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ARHGAP26,Q9UNA1,NP_055886,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG5,Q9H1Y0,NP_004840,0,"Kledi Salla (DTU, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SRPK3,Q9UPE1,NP_055185,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DYRK3,O43781,NP_003573,2,"Philipp Becker (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dyrk3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNF239,Q16600,NP_001092752,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TPSD1,Q9BZJ3,NP_036349,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
STK36,Q9NRP7,NP_056505,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PARK7,Q99497,NP_001116849,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/park7,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CYP2D6,P10635,NP_000097,2,"Martina Bellini (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cyp2d6/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FEN1,P39748,NP_004102,0,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FLCN,Q8NFG4,NP_659434,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TSC22D3,Q99576,NP_004080,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
AURKA,O14965,NP_940839,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDC42BPG,Q6DT37,NP_059995,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CYP2R1,Q6VVX0,NP_078790,4,"Francesca Maselli (DCI, Denmark, IBFM-CNR, Italy), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/cyp2r1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CALR,P27797,NP_004334,3,"Matteo Arnaudi (DCRC, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/calr/,,,AFDB,AlphaFold database,False,,
CBFB,Q13951,NP_001746,2,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cbfb/,,,AFDB,AlphaFold database,False,,
MADCAM1,Q13477,NP_570116,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PAM16,Q9Y3D7,NP_057153,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pam16,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PAN3,Q58A45,NP_787050,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TFPT,P0C1Z6,NP_037474,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SETD1B,Q9UPS6,NP_001340274,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RBMX,P38159,NP_002130,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DYRK4,Q9NR20,NP_003836,2,"Philipp Becker (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/acvr-proteins/dyrk4,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LRRK1,Q38SD2,NP_078928,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ESR1,P03372,NP_000116,2,"Kristine Degn (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/esr1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDK6,Q00534,NP_001138778,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KDSR,Q06136,NP_002026,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
C1GALT1,Q9NS00,NP_064541,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PTK2,Q05397,NP_722560,2,"Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ptk2,,,,,,,
AEN,Q8WTP8,NP_073604,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PIK3R2,O00459,NP_005018,0,"Xavier Chapatte (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
WFDC1,Q9HC57,NP_067020,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CCNE1,P24864,NP_001309191,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAP1LC3C,Q9BXW4,NP_001004343,0,"Mattia Utichi (DCRC, Denmark, DTU, Denmark), Laura Mattioli (DCRC, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TGFBI,Q15582,NP_000349,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
HOXA5,P20719,NP_061975,0,"Katrine Meldgård (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
XPC,Q01831,NP_004619,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FMR1,Q06787,NP_002015,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,Mod_Q06787.pdb,
MEIS1,O00470,NP_002389,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ITK,Q08881,NP_005537,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DSTYK,Q6XUX3,NP_056190,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MSH3,P20585,NP_002430,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/msh3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DNMT1,P26358,NP_001370,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DKC1,O60832,NP_001354,2,"Konstantina Gkopi (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dkc1/,,,AFDB,AlphaFold database,False,,
CASP9,P55211,NP_001220,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GATA1,P15976,NP_002040,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CLEC18A,A5D8T8,NP_001129686,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CCND2,P30279,NP_001750,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATP1A1,P05023,NP_000692,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DMAC2,Q9NW81,NP_060505,2,"Edene Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dmac2/,,,AFDB,AlphaFold database,False,,
STK3,Q13188,NP_006272,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PRAMEF2,O60811,NP_075390,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PPIF,P30405,NP_005720,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BNIP3L,O60238,NP_004322,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKL4,Q5MAI5,NP_001333840,2,"Jeremy Vinhas (DCI, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdkl4/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRKAA2,P54646,NP_006243,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RPL10,P27635,NP_006004,2,"Burcu Aykac Fas (IBPC, France)",https://elelab.gitbook.io/mavisp/proteins/rpl10/,,,AFDB,AlphaFold database,False,,
POLG,P54098,NP_002684,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AMH,P03971,NP_000470,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DDR2,Q16832,NP_006173,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NEK1,Q96PY6,NP_036356,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IFNA4,P05014,NP_066546,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SDHA,P31040,NP_004159,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,,,AFDB,AlphaFold database,False,,
ZNF331,Q9NQX6,NP_061025,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MYCN,P04198,NP_005369,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PALLD,Q8WX93,,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BAK1,Q16611,NP_001179,2,"Julie Bruun Brockhoff (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bak1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IDUA,P35475,NP_000194,0,"Martina Bellini (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STAG1,Q8WVM7,NP_005853,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IRS4,O14654,NP_003595,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG101,Q9BSB4,NP_068753,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SULT1A2,P50226,NP_001045,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CLU,P10909,NP_001822,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TSSK3,Q96PN8,NP_443073,0,"Martina Bellini (DTU, Denmark), Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DHCR7,Q9UBM7,NP_001351,2,"Edene Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dhcr7/,,,AFDB,AlphaFold database,False,,
ALAS2,P22557,NP_000023,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ANKRD26,Q9UPS8,NP_055730,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
INHBA,P08476,NP_002183,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MUTYH,Q9UIF7,NP_036354,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
ATG3,Q9NT62,NP_071933,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PDCD4,Q53EL6,NP_055271,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
EED,O75530,NP_003788,0,"Ludovica Beltrame (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXO4,P98177,NP_005929,0,"Lorenzo Favaro (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KIF2B,Q8N4N8,NP_115948,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FRG2C,A6NGY1,NP_001118231,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ISL1,P61371,NP_002193,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PKMYT1,Q99640,NP_004194,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TEX47,Q8TBZ9,NP_689919,0,"Paraskevi Saridaki (DCI, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MEFV,O15553,NP_000234,2,"Kristine Degn (DTU, Denmark), Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/mefv/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BMPR1A,P36894,NP_004320,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL11B,Q9C0K0,NP_61280,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AFF3,P51826,NP_001373064,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAST2,Q6P0Q8,NP_055927,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MAPK4,P31152,NP_002738,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CDK8,P49336,NP_001251,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GPR161,Q8N6U8,NP_001362812,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DHX15,O43143,NP_001349,2,"Edene Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dhx15/,,,AFDB,AlphaFold database,False,,
CUL3,Q13618,,0,"Simone Scrima (DTU, Denmark, DCI, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FHL2,Q14192,NP_001305824,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ARHGEF10,O15013,,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/arhgef10,,,AFDB,AlphaFold database,False,,
PRKACG,P22612,NP_002723,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
WDR89,Q96FK6,NP_542397,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KMT2E,Q8IZD2,NP_891847,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KDM5C,P41229,NP_004178,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LATS1,O95835,NP_004681,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TAF1,P21675,,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG10,Q9H0Y0,NP_113670,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HFE,Q30201,NP_000401,0,"Martina Bellini (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BARD1,Q99728,NP_000456,2,"Kristine Degn (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bard1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EXD3,Q8N9H8,NP_060290,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRMT8,Q9NR22,NP_062828,0,"Angeliki Vliora (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DLST,P36957,NP_001924,2,"Konstantina Gkopi (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dlst/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AKT2,P31751,NP_001617,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DNASE1L2,Q92874,NP_001288609,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CNN2,Q99439,NP_004359,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CTNNA1,P35221,NP_001310911,0,"Elena Papaleo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
